id,card,card_type,time,compony_id,line_id,car_id
12352008,A81B7C25789B518765ABA1889C1F96592FE5F1F58A476D08FB18B1A5B9F3B6CBBD07ABEA4C66DBB8,1,2017-05-08 08:21:21.000,7,9014,50079730
12352075,F467D2D73FCA715BC5D7B47412A6F27FB6570BCC8323DC10BC710DB7A880E28095FF69E066E68EEB,1,2017-05-08 08:21:22.000,7,9014,50079730
12352185,0302455137AB87C4EC0B8E63D45959ECF23753F134B4FA38141E5D3940385F6AD9E8BC40C3C13E89,0,2017-05-08 08:21:24.000,7,9014,50079730
12352265,07B753C0094D62A8A78D5997AD465A56E4D4B82027ADFE71AB3971FFE1BE9DDDF6CAF1E840C784D3,0,2017-05-08 08:21:25.000,7,9014,50079730
12352333,D89FFEBD80CAB822F377BAC4CA3E070309B256F9BDD3F53B0248B6609676FA76BF6C8E4C0BC9FC77,0,2017-05-08 08:21:26.000,7,9014,50079730
12352423,F366C66477A94E315C9601599EFC260808AD1B6A0D7C48B6F0D463057D8001F178AAF43387C634BF,0,2017-05-08 08:21:27.000,7,9014,50079730
12352483,8FF3DC7F95BFE06B912602FE211537655EB8AC914085EC4440FAF9F75071CFDB13A01A1A3AD88818,0,2017-05-08 08:21:28.000,7,9014,50079730
12352583,1DC5F90C006EE7EACBECA8B8AAA73D5A62D6E114FA5380C231571F066FFB1B054E58B89A25E7DF82,0,2017-05-08 08:21:29.000,7,9014,50079730
12352728,CCBCB169F94AF49DE665D0C5114D8CE5E5FA1194B20B34DDACA6678BF991D8F68C98257B323BEA1F,0,2017-05-08 08:21:31.000,7,9014,50079730
12352813,B790BA0E47B7E38BDED7D51E5B49E0C8D428ED1039D47A7BEBA62BD511CDCCA29060AB4555B96D70,1,2017-05-08 08:21:32.000,7,9014,50079730
12352825,090899EEC1974CBBFBC5D0D081260CA1468BB24A1BC86161460E875D3A6CC93A243B2FAA66FB32C6,0,2017-05-08 08:21:32.000,7,9014,50079730
12352958,0EA7EEBC00F46DFBDB5B42D474F9418DA4C466EEAD915A589C01F7EDE520551DC530761955E08341,1,2017-05-08 08:21:34.000,7,9014,50079730
12353043,07D95905C9D49A8C182DD0956DEF16377BF62A8D2A6F5502DC35DAB475DDC6502656654630F426DA,0,2017-05-08 08:21:35.000,7,9014,50079730
12353102,987513A0061554DE7DC6F26018190D6A83616E29B6F45AFAE9055FB6D56AB4DACCBA75735574E1F8,0,2017-05-08 08:21:36.000,7,9014,50079730
12353223,A17BDC80E655DBDCD529AA464FF3D5A4AC85B6D503C75C60B756EF2BD3875310B0E0221EE65130F4,1,2017-05-08 08:21:37.000,7,9014,50079583
12353318,2EA397D031979FC85EED975449C56C95618CC8D508031B94B210BAD96EFDDD626BE88C0F141C68DB,0,2017-05-08 08:21:38.000,7,9014,50079730
12353359,5305F4B2EC7FE4B1162A3BD691E630077CFAAD54B92ABABFBA0DE4E70223FAE3A8338CD0910D0939,0,2017-05-08 08:21:39.000,7,9014,50079730
12353460,9A5D0A2EE71043D37580A1A6E78BC4C09A1DCC8CE509B293DFFF5237A45C680B6AD5B96E143B6E30,0,2017-05-08 08:21:40.000,7,9014,50079730
12353542,2AD879602C6E3D2523CD40E2B2AE7104DCC819CD69C13CCF23F9B395A793B9E9FC8F7E875FBBF905,0,2017-05-08 08:21:41.000,7,9014,50079730
12353588,923D30C4A893010868D63A5EC6C024CD828A24E02485CD8CC9D0B9622C3545750454CB49B57A2F30,0,2017-05-08 08:21:42.000,7,9014,50079730
12353697,302E2D2F40611A04442325BB317251005E6B5CFC0DE1F2A16405B081EB5D65633C90BA64427817C9,0,2017-05-08 08:21:44.000,7,9014,50079730
12353866,2DD994D33D73F470971C47D30C9DA1580D38AA4C2A4E87FB6987E8630B3FE7E60EBD5585B894732A,0,2017-05-08 08:21:46.000,7,9014,50079730
12354028,6A1B1EF381B16F8A71BBB3F939396D7CE7998A8CC06C21770F9829C67B04A4821A99A08AEA706A56,2,2017-05-08 08:21:48.000,7,9014,50079730
12354044,4F3F8009B6885883D62F3D8A24D7CE01AD3220015AD33B4920A3B2BD88A9DE4DAFFFB0224B45631C,0,2017-05-08 08:21:49.000,7,9014,50079730
12354121,8165C7AE15CEDDFB052084697724AF71C0138D0757AE94A6A741C2BCFA325ADD6C4F072DE840CBB5,1,2017-05-08 08:21:50.000,7,9014,50079561
12354294,F68B2C2BA238BA52DCD80DEB66AEABEFF74F0D3FD5F32BFE2DB6EAB52F10B5CFEAA342F2286F0075,0,2017-05-08 08:21:52.000,7,9014,50079561
12354844,045AB68619671F30D69899424C7A2E3DF2A815A23C519514234E42D8C3EA3308E12FE1F5D661557C,1,2017-05-08 08:22:00.000,7,9014,50079559
12356614,EC913AE8F9C6F028B177836A3146CEF4F212DD9C9F05D98368869BED05B82227C17405293CBA2E7D,0,2017-05-08 08:22:23.000,7,9014,50079561
12356655,8C47673141B0A67B6F6F91DA1FE3F7886F4049EC8C53D14066FD8CE0B94D19240E757D552BE214C5,0,2017-05-08 08:22:24.000,7,9014,50079546
